"","1"
"1",42.367955658208
"2",52.0599210574802
"3",42.3083376174767
"4",47.1305232969898
"5",38.3079998533505
"6",53.8095334913082
"7",27.2021108909672
"8",51.6075808911064
"9",30.193187515265
"10",56.8581422622138
"11",41.6566669299863
"12",44.8212797051256
"13",42.9306221747532
"14",42.2112016009619
"15",53.037722723091
"16",51.8317602767074
"17",38.1400620834648
"18",42.219385518848
"19",29.4345039508765
"20",58.5236830252153
"21",38.7869849613684
"22",46.7061261042735
"23",42.3186219662401
"24",47.933080856808
"25",45.5557191418474
"26",50.5311086180001
"27",54.0894231409451
"28",46.5701809731575
"29",53.9770841933326
"30",26.265049897631
"31",54.3308836783305
"32",41.6627076136933
"33",31.0653916669625
"34",46.8315304918071
"35",53.54411548884
"36",43.5378454437479
"37",45.9350066815211
"38",49.4816886370986
"39",47.3449418789693
"40",37.9830294601542
"41",46.1923540575232
"42",56.8706783539504
"43",45.1919355032204
"44",46.371245069958
"45",42.1115267259474
"46",43.5181044497114
"47",41.138425520378
"48",31.3603339846661
"49",37.027084434929
"50",45.4492660236745
"51",21.4530643794008
"52",38.52186494636
"53",52.4207783762897
"54",38.6795231336035
"55",67.7588783788768
"56",24.8157553353299
"57",42.791047104906
"58",44.5201689022986
"59",45.8684256798843
"60",52.8784211999987
"61",44.2476421642255
"62",41.5006897452717
"63",54.2372983356825
"64",40.001602762093
"65",47.2496887933008
"66",41.9924977958892
"67",37.863751341929
"68",49.3968573681974
