"id","VALENCE.PLEASANTNESS"
1,36.146875774881
2,47.8961872274694
3,44.0748769655371
4,47.5030078145575
5,39.32296697482
6,49.1513283884226
7,30.0594840337616
8,48.0263485313908
9,42.3302083001522
10,48.8807374376593
11,36.5936282127731
12,46.0352921126716
13,40.6531685454562
14,44.6369596696555
15,48.3594896227474
16,48.6443617046418
17,38.6291387436056
18,39.8773540929954
19,40.5383199054843
20,52.4180920017423
21,46.9365397297035
22,47.4983692626316
23,49.6563792361843
24,45.1717891173863
25,47.8263978752697
26,46.9470796504155
27,50.1088266657859
28,44.4227479227775
29,51.7363631773541
30,32.6666045957189
31,50.2998931314778
32,45.390702923647
33,37.6681406610031
34,44.3867363252738
35,49.4070537499244
36,40.8015119148204
37,47.9138469607183
38,49.442160597164
39,40.2407345028843
40,39.1086294081808
41,48.5804847062737
42,55.4111307585181
43,41.206532660556
44,48.5341056762957
45,49.3553426008542
46,41.8023942974436
47,42.5207512169608
48,42.8515119504609
49,36.9749313176215
50,46.4961800725706
51,14.9566110459534
52,44.3588518059642
53,49.6186367158913
54,41.7052508734092
55,59.0996220784615
56,45.6997575626724
57,42.212339420406
58,44.2985868771411
59,45.9504029828985
60,48.2893716286421
61,39.4880295480022
62,47.2028240836161
63,51.5671741084566
64,38.1264930714249
65,44.7730762460906
66,42.6648471500402
67,38.7745093385427
68,48.8938053783905
