"id","VALENCE.PLEASANTNESS"
1,42.7042274475098
2,60.1239128112793
3,47.2864303588867
4,52.4685668945312
5,27.027738571167
6,60.7327423095703
7,37.0996894836426
8,52.5857391357422
9,58.577766418457
10,50.0863990783691
11,24.8915119171143
12,45.5783157348633
13,25.7465705871582
14,44.3061408996582
15,49.3761558532715
16,51.1091423034668
17,32.540168762207
18,39.2764015197754
19,33.7272338867188
20,58.8587608337402
21,47.8575096130371
22,48.1567459106445
23,43.8223152160645
24,46.6757392883301
25,43.9462203979492
26,56.2211265563965
27,52.6530799865723
28,37.1372718811035
29,61.3488502502441
30,21.8531475067139
31,55.5640602111816
32,39.1834602355957
33,26.9194374084473
34,39.3025245666504
35,54.5038261413574
36,34.2508277893066
37,50.4622230529785
38,48.0483207702637
39,48.9797401428223
40,33.1860084533691
41,44.6889991760254
42,65.2448272705078
43,38.6150741577148
44,45.5057601928711
45,59.640022277832
46,42.7903785705566
47,39.895694732666
48,43.1770477294922
49,25.8708820343018
50,44.2585334777832
51,26.7596817016602
52,44.2057456970215
53,56.6013641357422
54,39.5431442260742
55,50.4159698486328
56,33.3286666870117
57,50.4007987976074
58,54.0346183776855
59,43.2251014709473
60,50.6137161254883
61,30.4626884460449
62,25.7970943450928
63,45.5156707763672
64,22.5389308929443
65,54.3051948547363
66,50.3997764587402
67,40.5711288452148
68,53.9039039611816
